LLLLLX x2 + T   =>  LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | PG -> XO | LO -> XT | ET -> PO | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | LT -> EZ | XZ -> PT | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + T   =>  LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | PG -> XO | LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LO -> XT | XZ -> PT | ET -> PO | LO -> XT | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LO -> XT | XZ -> PT | PG -> XO | LO -> XT | XZ -> PT | LT -> EZ | LT -> EZ | XZ -> PT | ET -> PO | PZ -> EG | LO -> XT | LT -> EZ | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LO -> XT | XZ -> PT | PG -> XO | XZ -> PT | LT -> EZ | PZ -> EG | LT -> EZ | LT -> EZ | LO -> XT | XZ -> PT | ET -> PO | LO -> XT | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LO -> XT | XZ -> PT | PZ -> EG | ET -> PO | LO -> XT | PG -> XO | LT -> EZ | LT -> EZ | LT -> EZ | XZ -> PT | ET -> PO | LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | PG -> XO | LO -> XT | LT -> EZ | LT -> EZ | XZ -> PT | XZ -> PT | XZ -> PT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | PG -> XO | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | LT -> EZ | PG -> XO | XZ -> PT | LO -> XT | XZ -> PT | ET -> PO | PZ -> EG
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | LT -> EZ | PZ -> EG | XZ -> PT | XZ -> PT | ET -> PO | LT -> EZ | LO -> XT | LT -> EZ | XZ -> PT | PG -> XO | ELPX -> GOTZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | PZ -> EG | ET -> PO | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | LO -> XT | LT -> EZ | XZ -> PT | PG -> XO | ELPX -> GOTZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | XZ -> PT | ET -> PO | PG -> XO | LT -> EZ | XZ -> PT | LT -> EZ | LO -> XT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | XZ -> PT | ET -> PO | PG -> XO | PZ -> EG | LT -> EZ | XZ -> PT | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + Z   =>  XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | LO -> XT | XZ -> PT | ET -> PO | PG -> XO | XZ -> PT | LT -> EZ | LT -> EZ | LO -> XT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
