GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | PG -> XO | PG -> XO | LO -> XT | EO -> GL | LT -> EZ | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | PG -> XO | XG -> LZ | LO -> XT | EO -> GL | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ | XG -> LZ | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | XG -> LZ | XG -> LZ | EO -> GL | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | XG -> LZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | LO -> XT | PG -> XO | PG -> XO | EO -> GL | LT -> EZ | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | LO -> XT | XG -> LZ | PG -> XO | EO -> GL | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | LO -> XT | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | LO -> XT | PG -> XO | EO -> GL | LO -> XT | EO -> GL | PG -> XO | XG -> LZ | PZ -> EG | LT -> EZ | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | LO -> XT | XG -> LZ | LT -> EZ | PZ -> EG | XG -> LZ | LO -> XT | EO -> GL | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | XG -> LZ | GOTZ -> ELPX | EO -> GL | PG -> XO | PZ -> EG | LO -> XT | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | XG -> LZ | GOTZ -> ELPX | EO -> GL | XG -> LZ | LT -> EZ | PZ -> EG | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | XG -> LZ | GOTZ -> ELPX | EO -> GL | LT -> EZ | PZ -> EG | XG -> LZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
